marker,id,eda_avg,eda_increase,scr_avg,scr_increase,scl_avg,scl_increase,start
baseline,$onesz,1.6385743172268907,1.34226425006567e-4,-0.00120824525572094,1.5545579172941576e-4,1.6397825624826117,3.0191131370901336e-5,00:15:46
cognitive1,$onesz,2.09819862565445,5.049909998363608e-4,-0.021214082972194764,5.392868792341339e-4,2.119412708626645,7.178031629922559e-5,00:23:49
cognitive2,$onesz,1.9872912946428571,3.1557965236804334e-4,-0.045098496284975385,3.979939219256014e-4,2.0323897909278323,1.8546772698903104e-5,00:27:34
physical,$onesz,2.399021875,6.02500651211253e-4,-0.025697367190744152,6.422904034656723e-4,2.424719242190744,7.384446210685103e-5,00:43:20
baseline,0914,4.563665625,6.56681427455067e-4,-0.21696747819625825,8.20340335746058e-4,4.780633103196259,3.412730324522282e-5,00:00:45
cognitive1,0914,5.229801701570681,0.0016827033218785787,-0.03560941166490243,0.0016829515256906035,5.265411113235583,3.0353779128745135e-4,00:08:05
cognitive2,0914,5.334058238636364,0.001810260457774269,-0.07069143637389395,0.0018456257412111149,5.404749675010257,2.3218215390707415e-4,00:11:36
physical,0914,7.995603385416667,0.002882781974472521,0.004502810602092372,0.002753271717704979,7.991100574814574,7.527542866048968e-4,00:17:46
baseline,4,3.6858637079831933,9.298660362490175e-5,-0.04085245132077353,1.9691896777755522e-4,3.7267161593039666,6.064588686419844e-6,00:13:09
cognitive1,4,3.686705078125,1.919257691681585e-4,-0.006343623309264001,2.3005160495714771e-4,3.693048701434264,4.274100119426857e-5,00:21:02
cognitive2,4,3.4779250966494843,1.2357016271951013e-4,-0.013806536187116783,1.7531936715068868e-4,3.491731632836601,2.6350835739256886e-5,00:24:36
physical,4,2.470250525210084,7.016023115313907e-4,-0.010672816305823295,7.104816428718879e-4,2.480923341515907,1.939183138561884e-4,00:42:26
baseline,adresz,12.347120052083334,0.002681427455066425,0.07475702567919604,0.0025450951366022775,12.272363026404138,3.959112818402402e-4,00:14:35
cognitive1,adresz,12.93600734375,0.0012614471011095489,-0.04246936249386991,0.0013128353073141742,12.97847670624387,7.290919959908557e-5,00:22:07
cognitive2,adresz,13.02201419005102,0.0015794929038430827,-0.006881324029664963,0.001576581911132591,13.028895514080686,1.4940476487262252e-4,00:26:10
physical,adresz,13.022840598739496,9.156816390858932e-4,-0.15588507756864778,0.001100146793432786,13.178725676308144,3.6716601219753126e-5,00:43:13
baseline,akftmx,9.580478728991597,0.003216180719726825,-0.0732014310087915,0.003216121329062904,9.653680160000388,3.3553080719709287e-4,00:12:48
physical,akftmx,10.62602421875,0.002274290179734307,-0.21222244203991547,0.002396370600454811,10.838246660789915,1.2203822029612756e-4,00:19:07
cognitive1,akftmx,11.14029679404145,0.0024037246963562755,-0.08717804979051362,0.0024141250403305913,11.227474843831965,3.07789176520081e-4,00:36:27
cognitive2,akftmx,10.757442920918367,0.0018601498963482688,-0.1428582062788735,0.0019547581844194107,10.90030112719724,1.8957393402566127e-4,00:40:36
baseline,april,7.5492901041666665,0.001172961708778328,0.014980420714805362,0.001133082842876137,7.534309683451861,3.065475057560393e-4,00:13:26
cognitive1,april,9.07283837890625,0.0010613706657984676,-0.0724049381705764,0.001107257556332042,9.145243317076826,2.1732402800858346e-4,00:21:14
cognitive2,april,9.152241025641025,5.197948389164922e-4,-0.18596260507144508,6.942458620583051e-4,9.33820363071247,5.126154169106576e-5,00:26:01
physical,april,11.09844375,0.0012086480854389143,-0.20510724044823056,0.0014171949962091983,11.303550990448231,6.684666906526649e-5,00:40:36
baseline,borsoka,1.7615307291666666,1.3623339411305025e-4,0.002977152121082839,1.5806004477478172e-4,1.7585535770455838,4.808333453299432e-5,00:13:40
physical,borsoka,1.9831888020833333,1.0132847095597847e-4,-0.020395386614654603,1.6396817447694086e-4,2.003584188697988,1.82526980654472e-5,00:19:51
cognitive1,borsoka,1.602765625,1.758098648868636e-5,-0.017158551863190482,6.809079624241661e-5,1.6199241768631905,1.9228750985937e-6,00:36:42
cognitive2,borsoka,2.446396101804124,1.9832447236990499e-4,-0.0681992994992399,2.9676870632027266e-4,2.5145954013033633,6.251042049432855e-5,00:41:26
baseline,boti,3.3606778645833333,6.50429799426934e-4,-0.052816036376470636,7.253409911110784e-4,3.413493900959804,7.317998291473495e-5,00:13:14
cognitive1,boti,3.6634417317708334,5.072440175809865e-4,-0.051359400845257516,5.825547150285171e-4,3.7148011326160906,4.675809781300395e-5,00:21:16
cognitive2,boti,3.1970075708762886,2.5213468664411184e-4,-0.055176315186979207,3.5554402756864177e-4,3.2521838860632677,4.200211237499132e-5,00:24:52
physical,boti,4.224353385416666,7.270122427715575e-4,0.00906131382606632,7.173455176215648e-4,4.2152920715906,1.1570623409360323e-4,00:44:31
baseline,dab3nu,13.047147321428572,0.002043603887575516,0.052670580818159216,0.0019575657134500097,12.994476740610413,3.221114146949607e-4,00:13:16
cognitive1,dab3nu,13.054648437500001,0.0013879212111346283,-0.03363472237861716,0.001444624432542204,13.088283159878618,1.1041061708571664e-4,00:19:55
cognitive2,dab3nu,13.241947275641026,0.0013934925468825166,0.0019435890055027167,0.0014063746229403171,13.240003686635523,1.4043504614112565e-4,00:23:31
